teff,logg,feh,tv,mass,modelindex,fbol
2500,4,-0.5,1,0,226,9.345944912207376
2500,4,0.75,1,0,227,9.346062999206675
2500,4,-0.75,1,0,228,9.345959519514686
2500,4,1,1,0,229,9.34607368431182
2500,4,-1,1,0,230,9.345923716946979
2500,4,-1.5,1,0,231,9.345841745156042
2500,4,-2,1,0,232,9.345641193075421
2500,4,-2.5,1,0,233,9.345871118901616
2500,4,0,2,0,251,9.345984809328797
2500,4,0.25,2,0,252,9.346240304625255
2500,4,-0.25,2,0,253,9.346005838259211
2500,4,0.5,2,0,254,9.346189497434631
2500,4,-0.5,2,0,255,9.346031910370659
2500,4,0.75,2,0,256,9.346163347957898
2500,4,-0.75,2,0,257,9.346028193877842
2500,4,1,2,0,258,9.346180397934612
2500,4,-1,2,0,259,9.34600590246937
2500,4,-1.5,2,0,260,9.345905561351472
2500,4,-2,2,0,261,9.345712991596038
2500,4,-2.5,2,0,262,9.345737817878756
2500,4,0,5,0,263,9.346136149597259
2500,4.5,0,0,0,278,9.345911360315728
2500,4.5,0.25,0,0,279,9.345953291346445
2500,4.5,-0.25,0,0,280,9.345908180488948
2500,4.5,0.5,0,0,281,9.345988612894098
2500,4.5,-0.5,0,0,282,9.34591325125438
2500,4.5,0.75,0,0,283,9.346162483942035
2500,4.5,-0.75,0,0,284,9.345898452544892
2500,4.5,1,0,0,285,9.346074634986143
2500,4.5,-1,0,0,286,9.345881248341305
2500,4.5,-1.5,0,0,287,9.345757439961664
2500,4.5,0,1,0,299,9.345937332502821
2500,4.5,0.25,1,0,300,9.345982083651634
2500,4.5,0.5,1,0,301,9.346000388102096
2500,4.5,0.75,1,0,302,9.346189801592455
2500,4.5,1,1,0,303,9.346109348131534
2500,4.5,0,2,0,319,9.346037467018267
2500,4.5,0.25,2,0,320,9.346067350153316
2500,4.5,-0.25,2,0,321,9.346026118706725
2500,4.5,0.5,2,0,322,9.346061284758358
2500,4.5,-0.5,2,0,323,9.346016724774598
2500,4.5,0.75,2,0,324,9.346289608716726
2500,4.5,-0.75,2,0,325,9.34601217595127
2500,4.5,1,2,0,326,9.346207547621878
2500,4.5,-1,2,0,327,9.345998104991487
2500,4.5,-1.5,2,0,328,9.345865234820769
2500,4.5,-2,2,0,329,9.345591276801688
2500,5,0,0,0,346,9.34590400239676
2500,5,0.25,0,0,347,9.345932547667653
2500,5,-0.25,0,0,348,9.345900712346465
2500,5,0.5,0,0,349,9.345972544001214
2500,5,-0.5,0,0,350,9.345892105778663
2500,5,0.75,0,0,351,9.345985566022135
2500,5,-0.75,0,0,352,9.345873070272548
2500,5,1,0,0,353,9.346127275942195
2500,5,-1,0,0,354,9.345849802733024
2500,5,-1.5,0,0,355,9.345702242119476
2500,5,-2,0,0,356,9.345774975237461
2500,5,0,1,0,371,9.345932217503481
2500,5,0.25,1,0,372,9.345970586387384
2500,5,-0.25,1,0,373,9.345929914061571
2500,5,0.5,1,0,374,9.346003711089176
2500,5,-0.5,1,0,375,9.345927077108799
2500,5,0.75,1,0,376,9.3460263301649
2500,5,-0.75,1,0,377,9.345917543607706
2500,5,1,1,0,378,9.346095581595796
2500,5,-1,1,0,379,9.345888126993856
2500,5,0,2,0,391,9.346029473663908
2500,5,0.25,2,0,392,9.346057704183874
2500,5,-0.25,2,0,393,9.346015737336076
2500,5,0.5,2,0,394,9.346107577875241
2500,5,-0.5,2,0,395,9.346005839303828
2500,5,0.75,2,0,396,9.346136610877531
2500,5,-0.75,2,0,397,9.345984621713438
2500,5,1,2,0,398,9.34618444066073
2500,5,-1,2,0,399,9.345956555841022
2500,5,0,5,0,400,9.34617093274633
2500,5.5,0,0,0,411,9.345881761914189
2500,5.5,0.25,0,0,412,9.345915338625035
2500,5.5,-0.25,0,0,413,9.345874314249203
2500,5.5,0.5,0,0,414,9.345950775727191
2500,5.5,-0.5,0,0,415,9.345852709818459
2500,5.5,0.75,0,0,416,9.345991326042807
2500,5.5,-0.75,0,0,417,9.345839320851136
2500,5.5,-1,0,0,418,9.345807531310886
2500,5.5,0,1,0,429,9.345924250276438
2500,5.5,0.25,1,0,430,9.34596837538781
2500,5.5,-0.25,1,0,431,9.34591939222433
2500,5.5,0.5,1,0,432,9.345986668980798
2500,5.5,-0.5,1,0,433,9.345909163707551
2500,5.5,0.75,1,0,434,9.346034166783998
2500,5.5,-0.75,1,0,435,9.34587471761478
2500,5.5,1,1,0,436,9.346052820892757
2500,5.5,-2,1,0,437,9.345771273305555
2500,5.5,0,2,0,451,9.346004077998954
2500,5.5,0.25,2,0,452,9.346021027310103
2500,5.5,-0.25,2,0,453,9.34599172803724
2500,5.5,0.75,2,0,454,9.346118514043289
2500,5.5,1,2,0,455,9.346150527158903
2500,5.5,-2,2,0,456,9.345651481856493
2500,5.5,0,5,0,457,9.346154964841661
2600,3,0,0,0,480,9.413962326731468
2600,3,0.25,0,0,481,9.413977760447471
2600,3,-0.25,0,0,482,9.41396045260154
2600,3,0.5,0,0,483,9.413995878401579
2600,3,-0.5,0,0,484,9.413955412304954
2600,3,0.75,0,0,485,9.414026963216047
2600,3,-0.75,0,0,486,9.413960292503393
2600,3,1,0,0,487,9.414044908572812
